#{"t_start": 1650615832.6173942, "env_id": "CartPole-v0"}
r,l,t
23.0,23,2.976654
19.0,19,3.133373
23.0,23,3.304405
20.0,20,3.32934
19.0,19,3.513847
30.0,30,3.708837
19.0,19,3.735768
25.0,25,4.000059
23.0,23,4.191547
17.0,17,4.219472
43.0,43,4.583333
19.0,19,4.608253
19.0,19,4.78468
89.0,89,5.354202
34.0,34,5.537122
26.0,26,5.569037
24.0,24,5.730605
25.0,25,5.918103
13.0,13,5.935058
14.0,14,6.099597
17.0,17,6.122544
25.0,25,6.30082
21.0,21,6.463345
10.0,10,6.475349
14.0,14,6.625964
11.0,11,6.639916
30.0,30,6.811932
13.0,13,6.827928
33.0,33,7.002423
10.0,10,7.15216
19.0,19,7.176096
99.0,99,7.718619
34.0,34,7.905084
62.0,62,8.258702
27.0,27,8.424259
12.0,12,8.584824
19.0,19,8.60876
19.0,19,8.774459
20.0,20,8.815682
20.0,20,8.969236
14.0,14,8.987224
13.0,13,9.138826
20.0,20,9.163753
25.0,25,9.332311
23.0,23,9.498821
23.0,23,9.727246
27.0,27,9.765128
31.0,31,9.957594
28.0,28,10.141131
53.0,53,10.476356
43.0,43,10.668796
124.0,124,11.420827
52.0,52,11.750502
170.0,170,12.627355
29.0,29,12.786929
67.0,67,13.205924
41.0,41,13.416362
19.0,19,13.585909
33.0,33,13.832083
32.0,32,14.142251
30.0,30,14.471941
31.0,31,14.704114
49.0,49,14.99667
46.0,46,15.706347
70.0,70,16.139961
99.0,99,16.7204
108.0,108,17.377427
200.0,200,18.413795
33.0,33,18.585351
57.0,57,18.915469
56.0,56,19.120913
59.0,59,19.454982
32.0,32,19.649499
125.0,125,20.461719
200.0,200,21.666417
192.0,192,22.740406
200.0,200,24.024596
132.0,132,24.882313
200.0,200,26.459621
180.0,180,27.473645
88.0,88,27.883549
54.0,54,28.219681
56.0,56,28.542818
63.0,63,28.881141
81.0,81,29.237193
75.0,75,29.813677
127.0,127,30.49586
200.0,200,31.534119
126.0,126,32.194635
171.0,171,33.029423
200.0,200,34.093522
200.0,200,35.222898
200.0,200,36.237675
200.0,200,37.227377
200.0,200,38.235163
200.0,200,39.408966
200.0,200,40.393101
200.0,200,41.466887
200.0,200,42.472905
200.0,200,43.665022
200.0,200,44.681207
200.0,200,45.689669
200.0,200,46.69506
200.0,200,47.825936
200.0,200,48.817063
200.0,200,49.881594
200.0,200,50.916538
200.0,200,52.062308
200.0,200,53.060257
200.0,200,54.089103
200.0,200,55.165211
200.0,200,56.314928
200.0,200,57.339675
200.0,200,58.320407
200.0,200,60.264461
200.0,200,61.766621
200.0,200,63.090957
200.0,200,64.371032
200.0,200,65.401278
200.0,200,66.522711
200.0,200,67.58886
200.0,200,68.616313
200.0,200,69.6186
200.0,200,70.819161
200.0,200,71.903627
200.0,200,72.988961
200.0,200,73.98033
200.0,200,75.101327
200.0,200,76.110428
200.0,200,77.117905
200.0,200,78.185983
200.0,200,79.339571
200.0,200,80.369313
200.0,200,81.358377
200.0,200,82.334239
200.0,200,83.493928
200.0,200,84.56421
200.0,200,85.604451
200.0,200,86.964389
200.0,200,88.342162
200.0,200,89.366074
200.0,200,90.465231
200.0,200,91.474652
200.0,200,92.579369
200.0,200,93.562973
200.0,200,94.603151
200.0,200,95.548532
200.0,200,96.624617
200.0,200,97.63378
200.0,200,98.634633
200.0,200,99.699313
200.0,200,100.824387
200.0,200,101.863008
200.0,200,102.997323
200.0,200,104.142868
200.0,200,105.64887
200.0,200,106.854298
200.0,200,108.179816
200.0,200,109.319391
200.0,200,111.059346
200.0,200,112.544801
200.0,200,114.048792
200.0,200,115.21096
200.0,200,116.267516
200.0,200,118.260958
200.0,200,120.353717
200.0,200,121.803494
200.0,200,123.189766
200.0,200,124.927073
200.0,200,126.034904
200.0,200,126.999346
200.0,200,128.069626
200.0,200,129.040344
200.0,200,130.060603
200.0,200,131.139456
200.0,200,132.316234
200.0,200,133.282254
200.0,200,134.301479
200.0,200,135.354153
200.0,200,136.417923
200.0,200,137.341431
200.0,200,138.5842
200.0,200,140.079056
200.0,200,141.222154
200.0,200,142.220951
200.0,200,143.212149
200.0,200,144.21523
200.0,200,145.444026
200.0,200,146.456257
200.0,200,147.458635
200.0,200,148.489619
200.0,200,149.682572
200.0,200,150.716709
200.0,200,151.766012
200.0,200,152.888601
200.0,200,154.109958
200.0,200,155.258947
200.0,200,156.333404
200.0,200,157.378184
200.0,200,158.712057
200.0,200,159.776736
200.0,200,160.899429
200.0,200,161.981165
200.0,200,163.125793
200.0,200,164.137129
200.0,200,165.175071
200.0,200,166.26266
200.0,200,167.418934
200.0,200,168.443261
200.0,200,169.433208
200.0,200,170.45996
200.0,200,171.658422
200.0,200,172.660606
200.0,200,173.667264
