time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/explained_variance,train/n_updates,train/loss,train/approx_kl,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
450,2048,4,1,200.0,-1178.0190864,,,,,,,,,,,,,
428,4096,9,2,200.0,-1304.71550835,8861.43635559082,0.2,-1.415653893724084,0.0003,0.01494140625,0.9944090247154236,0.0025961995124816895,10,4467.7548828125,0.0030795822,-0.00142012357537169,,
413,6144,14,3,200.0,-1250.8539296000001,11270.4580078125,0.2,-1.4141665361821651,0.0003,0.019921875,0.9937305450439453,0.10975325107574463,20,4765.123046875,0.0034247083,-0.0026940988667774946,,
381,8192,21,4,200.0,-1221.59868355,7167.127197265625,0.2,-1.4063556011766196,0.0003,0.02490234375,0.977911114692688,0.22283011674880981,30,3054.816650390625,0.0040502725,-0.0025350288866320624,,
,10000,,,,,7524.451580810547,0.2,-1.3926471840590238,0.0003,0.026123046875,0.9704992771148682,0.021273672580718994,40,3315.326416015625,0.0039281547,-0.0028215965401614087,-1201.8938604,200.0
368,10240,27,5,200.0,-1216.3856469215687,,,,,,,,,,,,,
371,12288,33,6,200.0,-1210.770696295082,8142.434638977051,0.2,-1.3833239864557982,0.0003,0.019140625,0.9587464332580566,0.006679117679595947,50,3593.2763671875,0.0038612452,-0.0011335358052747325,,
374,14336,38,7,200.0,-1206.42395843662,7286.5611022949215,0.2,-1.3644925910979508,0.0003,0.026806640625,0.9369286894798279,0.003157675266265869,60,3371.291748046875,0.004222853,-0.002655514545040205,,
382,16384,42,8,200.0,-1194.166502037037,7585.855944824219,0.2,-1.3528794519603253,0.0003,0.003173828125,0.934487521648407,0.002550065517425537,70,3345.93212890625,0.0013906434,-0.00067950218799524,,
387,18432,47,9,200.0,-1194.020365847826,6044.026789855957,0.2,-1.345659727230668,0.0003,0.007275390625,0.9269594550132751,0.0015761256217956543,80,2921.966552734375,0.0028833924,-0.0004888392213615589,,
,20000,,,,,7404.990142822266,0.2,-1.337298249453306,0.0003,0.021142578125,0.916848361492157,0.0008102655410766602,90,3226.369140625,0.0021306674,-0.0017951139074284584,-1128.2933154,200.0
372,20480,54,10,200.0,-1171.0264604000001,,,,,,,,,,,,,
369,22528,60,11,200.0,-1179.7202814700001,5234.831266784668,0.2,-1.328266501799226,0.0003,0.023046875,0.9081369042396545,0.0006533265113830566,100,2186.021728515625,0.002091588,-0.0025959006787161345,,
373,24576,65,12,200.0,-1150.2035781700001,6937.124700927734,0.2,-1.3189987156540155,0.0003,0.005712890625,0.9024927616119385,0.0003967881202697754,110,3029.837646484375,0.002401599,-0.001163637632271275,,
373,26624,71,13,200.0,-1159.9575939400002,5956.377821350097,0.2,-1.3099703051149845,0.0003,0.008154296875,0.8917016386985779,0.0003630518913269043,120,2740.914306640625,0.0025621613,-0.0015958279371261596,,
378,28672,75,14,200.0,-1159.70692484,7093.116560363769,0.2,-1.3063255410641432,0.0003,9.765625e-05,0.8972085118293762,0.00023788213729858398,130,2752.818603515625,0.00049135054,-8.425475243711844e-05,,
,30000,,,,,6004.460578918457,0.2,-1.2946076538413762,0.0003,0.00927734375,0.8711996674537659,0.00022399425506591797,140,2648.633544921875,0.002848967,-0.0018861459364416077,-1365.1076646,200.0
375,30720,81,15,200.0,-1162.10474323,,,,,,,,,,,,,
